name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Yerevan,Armenia",2021-04-13,15.9,5.8,10.5,15.9,4.8,10.2,3.3,63.3,0.41,100,8.33,rain,0.0,0.0,59.4,33.5,344.3,1015.6,26.4,14.2,238.5,20.6,7,,2021-04-13T06:26:57,2021-04-13T19:38:40,0.04,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,LTCT,37788099999,37792099999,35394699999"
"Yerevan,Armenia",2021-04-14,17.1,7.6,12.0,17.1,5.6,11.7,1.2,51.2,0.6,100,4.17,rain,0.0,0.0,40.7,14.8,208.7,1016.1,44.6,13.4,279.7,24.2,9,,2021-04-14T06:25:26,2021-04-14T19:39:41,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"37871099999,37787099999,37717099999,37785099999,17100099999,17100199999,UDYZ,37699099999,LTCT,37788099999,37792099999,35394699999"
"Yerevan,Armenia",2021-04-15,20.0,4.0,12.5,20.0,2.8,12.2,-0.9,44.0,0.0,0,0.0,,0.0,0.0,,14.8,358.8,1017.4,7.4,14.5,274.9,23.6,10,,2021-04-15T06:23:56,2021-04-15T19:40:43,0.11,Clear,Clear conditions throughout the day.,clear-day,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,LTCT,37788099999,37792099999,35394699999"
"Yerevan,Armenia",2021-04-16,22.0,7.0,14.9,22.0,5.8,14.8,2.1,45.0,0.0,0,0.0,,0.0,0.0,,13.0,89.6,1018.2,17.6,14.5,280.8,24.4,9,,2021-04-16T06:22:26,2021-04-16T19:41:44,0.14,Clear,Clear conditions throughout the day.,clear-day,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,LTCT,37788099999,37792099999,35394699999"
"Yerevan,Armenia",2021-04-17,24.2,10.1,17.0,24.2,10.1,17.0,2.4,40.0,0.0,0,0.0,,0.0,0.0,,14.8,60.8,1019.3,11.5,14.5,245.0,21.2,8,,2021-04-17T06:20:57,2021-04-17T19:42:45,0.17,Clear,Clear conditions throughout the day.,clear-day,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,37699099999,LTCT,37788099999,37792099999,35394699999"
"Yerevan,Armenia",2021-04-18,25.1,9.9,17.8,25.1,9.9,17.8,5.4,47.2,0.0,0,0.0,,0.0,0.0,35.3,9.8,111.3,1017.9,21.3,14.5,213.3,18.4,8,,2021-04-18T06:19:28,2021-04-18T19:43:47,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,LTCT,37788099999,37792099999,35394699999"
"Yerevan,Armenia",2021-04-19,26.0,11.1,18.5,26.0,11.1,18.5,6.2,48.6,0.0,0,0.0,,0.0,0.0,,9.6,82.3,1016.9,15.8,14.5,213.0,18.4,7,,2021-04-19T06:18:01,2021-04-19T19:44:48,0.24,Clear,Clear conditions throughout the day.,clear-day,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,LTCT,37788099999,37792099999,35394699999"
"Yerevan,Armenia",2021-04-20,25.0,14.0,18.6,25.0,14.0,18.6,8.7,54.5,3.0,100,4.17,rain,0.0,0.0,,11.0,57.5,1015.6,32.3,12.0,109.4,9.4,5,,2021-04-20T06:16:34,2021-04-20T19:45:50,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,LTCT,37788099999,37792099999,35394699999"
"Yerevan,Armenia",2021-04-21,26.9,14.0,19.4,26.6,14.0,19.4,10.0,58.2,1.3,100,8.33,rain,0.0,0.0,68.4,14.7,93.0,1014.9,52.1,11.9,268.0,23.0,8,,2021-04-21T06:15:08,2021-04-21T19:46:51,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,37699099999,LTCT,37788099999,37792099999,35394699999"
"Yerevan,Armenia",2021-04-22,28.9,15.6,21.8,27.5,15.6,21.4,5.0,36.8,0.4,100,4.17,rain,0.0,0.0,59.4,39.1,126.7,1012.9,37.7,13.4,267.0,23.2,8,,2021-04-22T06:13:43,2021-04-22T19:47:53,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"37871099999,37787099999,37717099999,37785099999,17100099999,17100199999,UDYZ,37699099999,LTCT,37788099999,37792099999,35394699999"
